procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 61435332 179104 1991012    0    0     0     0    3    5  0  0 100  0  0
100  0      0 61276028 179104 1993296    0    0    80     0 25790 4374 90  2  8  0  0
138  0      0 61157144 179104 2021544    0    0 29684     0 351776 1019221 64 13 22  0  0
234  0      0 61131216 179104 2031884    0    0 11092     0 104147 243082 92  3  5  0  0
200  0      0 61114120 179112 2044648    0    0 11588  2620 80558 224178 91  4  5  0  0
38  0      0 61072700 179112 2064832    0    0 19288     0 289323 907617 57 13 31  0  0
210  0      0 61058928 179112 2069136    0    0  5200     0 56713 148434 89  2  8  0  0
200  0      0 61047040 179112 2073664    0    0  4444     0 68522 114141 95  2  3  0  0
168  0      0 61038352 179112 2080924    0    0  6896     0 75906 203529 92  4  4  0  0
93  0      0 61011604 179120 2099072    0    0 18460   152 448402 1259840 72 17 11  0  0
156  0      0 60996744 179120 2104540    0    0  5604     0 80362 229601 92  3  5  0  0
166  0      0 60985532 179120 2109604    0    0  4996     0 73567 163532 93  2  5  0  0
128  0      0 61065812 179120 2111604    0    0   912     0 42080 56289 98  1  1  0  0
