procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 61169112 179144 2111188    0    0     0     0    3    6  0  0 100  0  0
 0  0      0 61063284 179144 2113252    0    0   196     0 25697 4767 93  3  4  0  0
212  0      0 60965348 179144 2129372    0    0 22352     0 87831 1157901 49 15 36  0  0
256  0      0 60949872 179144 2142396    0    0 10476     0 55899 355814 92  7  0  0  0
152  0      0 60938232 179144 2154424    0    0 12596     0 74583 404956 91  9  0  0  0
190  0      0 60912380 179144 2179376    0    0 21668  2488 48188 1422025 71 20  9  0  0
297  0      0 60895604 179152 2184560    0    0  7540    64 74049 358276 91  9  0  0  0
262  0      0 60889244 179152 2190844    0    0  6920     0 30874 398450 90 10  0  0  0
117  1      0 60877824 179152 2200252    0    0  7376     0 71358 357977 91  9  0  0  0
263  0      0 60865164 179152 2214756    0    0 13704     0 44135 1402869 71 21  8  0  0
283  0      0 60849136 179152 2218568    0    0  4324    60 62757 361572 92  8  0  0  0
281  0      0 60845100 179160 2222760    0    0  3632    12 31308 277843 94  6  0  0  0
128  0      0 60906540 179160 2225320    0    0  1504     0 29211 112986 97  3  0  0  0
